n, Insert, Merge
462,0.188875,0.08711401
463,0.19648699,0.087133
464,0.19597699,0.087593
465,0.205128,0.08748399
466,0.199962,0.088584
467,0.191035,0.088028
468,0.201373,0.087644
469,0.204585,0.088408
470,0.192243,0.08814099
471,0.194368,0.089665
472,0.1961,0.08959199
473,0.20125899,0.08907101
474,0.20375,0.089483
475,0.20717,0.089378
476,0.191775,0.090365
477,0.192532,0.091134
478,0.206652,0.090671
479,0.217275,0.092222
480,0.20665199,0.090841
481,0.222148,0.090987
482,0.21277799,0.091744
483,0.216059,0.092061
484,0.215875,0.091175
485,0.20833,0.092498
486,0.203774,0.091032
487,0.211203,0.09196901
488,0.206617,0.092976
489,0.213326,0.09157
490,0.218393,0.093639
491,0.211299,0.093826
492,0.21856099,0.093775
493,0.214018,0.094713
494,0.21511099,0.094459
495,0.214878,0.094574
496,0.215701,0.094764
497,0.209169,0.094243
498,0.226705,0.095268
499,0.223581,0.097335
500,0.21439701,0.095066
501,0.227296,0.09567299
502,0.231254,0.095934
503,0.227288,0.095483
504,0.34179,0.120879
505,0.224666,0.09545799
506,0.243051,0.096335
507,0.238802,0.097525
508,0.227841,0.096646
509,0.21823,0.096078
510,0.238513,0.097701
511,0.229851,0.09833699
512,0.239873,0.096603
513,0.226609,0.102725
514,0.218738,0.103452
515,0.255231,0.103135
516,0.241598,0.10344
517,0.238184,0.104621
518,0.240876,0.103624
519,0.241526,0.103434
520,0.223287,0.105652
521,0.246694,0.104672
522,0.241253,0.385972
523,0.254704,0.104137
524,0.245594,0.104762
525,0.256041,0.104767
526,0.249894,0.10502701
527,0.237441,0.104295
528,0.251714,0.105227
529,0.257773,0.105992
530,0.244046,0.10614701
531,0.251668,0.106484
532,0.249388,0.106486
533,0.243725,0.106802
534,0.25023101,0.107676
535,0.259387,0.107943
536,0.254905,0.107087
537,0.250244,0.107646
538,0.246411,0.107451
539,0.252297,0.107233
540,0.273764,0.109581
541,0.256733,0.107657
542,0.262963,0.108205
543,0.27804,0.109188
544,0.26534799,0.109141
545,0.26422,0.108996
546,0.259476,0.10931399
547,0.273735,0.109528
548,0.273211,0.10780101
549,0.267929,0.10960501
550,0.275514,0.109522
551,0.271907,0.110859
552,0.265138,0.111479
553,0.282212,0.110899
554,0.274512,0.110453
555,0.270522,0.110704
556,0.267978,0.111241
557,0.277417,0.111324
558,0.275746,0.11053
559,0.293005,0.11253
560,0.276423,0.111853
561,0.28168301,0.113331
562,0.290872,0.113237
563,0.273291,0.13808
564,0.28876,0.114085
565,0.265653,0.124175
566,0.29561301,0.397783
567,0.275642,0.114288
568,0.280076,0.114648
569,0.282864,0.113288
570,0.290423,0.134443
571,0.278882,0.114708
572,0.282912,0.113297
573,0.28489,0.116148
574,0.289134,0.117123
575,0.29375499,0.11513
576,0.28777099,0.11591
577,0.28794,0.115536
578,0.30322,0.116774
579,0.29977401,0.159957
580,0.298324,0.117316
581,0.292997,0.115841
582,0.297768,0.116902
583,0.303099,0.11691801
584,0.325323,0.11874299
585,0.302982,0.130046
586,0.296182,0.117669
587,0.29672,0.11821499
588,0.314822,0.119121
589,0.29641,0.117666
590,0.282113,0.120713
591,0.314039,0.11940899
592,0.29962999,0.137212
593,0.304217,0.11993
594,0.324807,0.11838
595,0.301923,0.120981
596,0.311088,0.119949
597,0.302969,0.12026101
598,0.301953,0.120294
599,0.323238,0.120088
600,0.317132,0.12055
601,0.306633,0.121619
602,0.321354,0.122089
603,0.315992,0.122127
604,0.314541,0.121002
605,0.328095,0.121839
606,0.333903,0.143186
607,0.329958,0.121245
608,0.324452,0.12171
609,0.313581,0.125735
610,0.333859,0.124591
611,0.326171,0.122937
612,0.342083,0.12314299
613,0.33263,0.122875
614,0.330914,0.124129
615,0.327993,0.123065
616,0.33450399,0.139869
617,0.327565,0.123869
618,0.333993,0.123597
619,0.328068,0.137052
620,0.32809199,0.125198
621,0.340839,0.125543
622,0.332347,0.124501
623,0.34567299,0.125252
624,0.34888,0.126981
625,0.349268,0.12440401
626,0.337259,0.125706
627,0.356882,0.12604
628,0.349276,0.129974
629,0.348153,0.125872
630,0.347255,0.125433
631,0.348742,0.125802
632,0.343621,0.126026
633,0.344553,0.127831
634,0.378649,0.127368
635,0.350957,0.127526
636,0.36527,0.12785
637,0.364964,0.126828
638,0.390331,0.128529
639,0.341429,0.128898
640,0.383877,0.130225
641,0.357152,0.128264
642,0.368698,0.12965401
643,0.354977,0.127994
644,0.363324,0.129284
645,0.365414,0.131708
646,0.375819,0.129579
647,0.354629,0.14059
648,0.357388,0.131703
649,0.355985,0.131022
650,0.374606,0.130575
651,0.355097,0.132393
652,0.381458,0.131709
653,0.386082,0.132014
654,0.388857,0.132177
655,0.357882,0.133611
656,0.373137,0.404425
657,0.38152499,0.131931
658,0.38258,0.132374
659,0.40575001,0.13322899
660,0.3637,0.135747
661,0.375925,0.134306
662,0.382006,0.134074
663,0.374844,0.131896
664,0.397238,0.134774
665,0.380859,0.151021
666,0.385745,0.149375
667,0.427586,0.135223
668,0.378994,0.137017
669,0.38575,0.135387
670,0.3979,0.133578
671,0.400566,0.15033
672,0.399146,0.549874
673,0.38725,0.136432
674,0.392024,0.137755
675,0.399854,0.13700701
676,0.395292,0.138776
677,0.46388301,0.138543
678,0.40558501,0.136856
679,0.39046,0.13611899
680,0.427386,0.140408
681,0.406064,0.136597
682,0.454794,0.138676
683,0.417967,0.139117
684,0.41493201,0.139956
685,0.43375,0.13862099
686,0.395928,0.137728
687,0.400429,0.138903
688,0.404852,0.453228
689,0.42439,0.13997199
690,0.421086,0.140328
691,0.424815,0.139056
692,0.429837,0.139487
693,0.42068,0.141943
694,0.44045001,0.139903
695,0.413049,0.140673
696,0.406496,0.139896
697,0.427884,0.141775
698,0.432843,0.138981
699,0.420665,0.14024501
700,0.438468,0.140296
701,0.423025,0.140882
702,0.428522,0.154711
703,0.415837,0.149336
704,0.443992,0.142221
705,0.419742,0.163768
706,0.429273,0.141721
707,0.43019801,0.141852
708,0.43062299,0.14168099
709,0.444414,0.143509
710,0.426121,0.142186
711,0.48248401,0.144562
712,0.445897,0.143023
713,0.446007,0.14252
714,0.447335,0.143827
715,0.441308,0.143966
716,0.435115,0.14418001
717,0.461071,0.147526
718,0.446397,0.14363401
719,0.443462,0.145123
720,0.427204,0.14454
721,0.454052,0.145855
722,0.455265,0.145978
723,0.444051,0.145246
724,0.45495,0.145219
725,0.45684201,0.146465
726,0.471101,0.144792
727,0.460076,0.149389
728,0.465606,0.146532
729,0.466881,0.14623
730,0.440098,0.145735
731,0.45234399,0.147959
732,0.4801,0.148531
733,0.49167,0.148573
734,0.481324,0.148574
735,0.477911,0.424529
736,0.497839,0.146893
737,0.476607,0.147662
738,0.49760401,0.150412
739,0.462281,0.150172
740,0.472002,0.149651
741,0.48664001,0.150359
742,0.496163,0.150325
743,0.50485,0.160699
744,0.48556799,0.150105
745,0.465376,0.152695
746,0.498395,0.150969
747,0.501949,0.152005
748,0.48934,0.151639
749,0.494797,0.150958
750,0.495992,0.152454
751,0.498799,0.1522
752,0.489172,0.152449
753,0.48856699,0.179577
754,0.496767,0.155146
755,0.562113,0.15401
756,0.496684,0.152901
757,0.48971599,0.154844
758,0.61299,0.239031
759,0.610227,0.219674
760,0.52776,0.15650599
761,0.50084,0.154839
762,0.522297,0.283634
763,0.614522,0.21925399
764,0.509944,0.157829
765,0.490478,0.156482
766,0.508386,0.156592
767,0.546266,0.16394401
768,0.507221,0.156771
769,0.505026,0.161681
770,0.510962,0.169559
771,0.516433,0.158283
772,0.540228,0.15838
773,0.524056,0.158687
774,0.51482701,0.15784501
775,0.528006,0.157289
776,0.523283,0.158636
777,0.499296,0.160705
778,0.528262,0.158749
779,0.537331,0.158046
780,0.528936,0.160168
781,0.53398,0.497045
782,0.51863,0.159727
783,0.54922,0.159358
784,0.537793,0.160066
785,0.534065,0.158594
786,0.561608,0.160221
787,0.537272,0.159345
788,0.542744,0.159473
789,0.534425,0.16149399
790,0.549442,0.158067
791,0.55738699,0.161181
792,0.816906,0.238431
793,0.811789,0.331029
794,0.529727,0.176557
795,0.55201799,0.161969
796,0.549948,0.471823
797,0.550091,0.161611
798,0.560461,0.160788
799,0.555283,0.16097701
800,0.53922901,0.162419
801,0.56261,0.163749
802,0.568826,0.177712
803,0.537596,0.162343
804,0.544585,0.160719
805,0.548634,0.164102
806,0.574947,0.162057
807,0.543789,0.223429
808,0.645929,0.164134
809,0.56717701,0.163793
810,0.58377,0.163439
811,0.56131101,0.16449299
812,0.584552,0.165813
813,0.567255,0.163113
814,0.566686,0.16384
815,0.569826,0.165789
816,0.593488,0.165786
817,0.577456,0.167168
818,0.59059799,0.16617899
819,0.60169201,0.165099
820,0.592739,0.164543
821,0.578574,0.16639601
822,0.58819,0.165401
823,0.576409,0.167192
824,0.560351,0.165832
825,0.612616,0.167141
826,0.591138,0.16745599
827,0.580092,0.169303
828,0.593336,0.165286
829,0.612813,0.167711
830,0.593739,0.172946
831,0.59121,0.168622
832,0.595933,0.168079
833,0.599717,0.168298
834,0.590737,0.16957
